,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
71,Aljazeera,0.04011,0.34675,0.2013,0.2013,0.349,0.0671,0.0134,https://www.aljazeera.com/news/2023/2/16/after-a-year-of-war-in-ukraine-what-might-happen-next
72,Aljazeera,-0.00016,0.22087,0.2157,0.0308,0.3082,0.0,0.0308,https://www.aljazeera.com/news/2023/2/16/russia-ukraine-war-list-of-key-events-day-358
73,Aljazeera,0.09232,0.38793,0.1398,0.0699,0.4661,0.0,0.0,https://www.aljazeera.com/news/2023/2/15/ukraine-shoots-down-russian-reconnaissance-balloons
74,Aljazeera,0.0344,0.33565,0.1088,0.1088,0.3263,0.0,0.0,https://www.aljazeera.com/news/2023/2/15/russian-journalist-sentenced-to-penal-colony-in-dissent-crackdown
75,Aljazeera,0.08684,0.27927,0.2616,0.0916,0.1831,0.0262,0.0,https://www.aljazeera.com/news/2023/2/15/infographic-how-much-have-nato-members-spent-on-ukraine
76,Aljazeera,0.00194,0.28099,0.2197,0.2197,0.2636,0.0,0.0439,https://www.aljazeera.com/news/2023/2/15/russia-ukraine-war-list-of-key-events-day-357
77,Aljazeera,0.06587,0.23887,0.121,0.1452,0.4113,0.0242,0.0,https://www.aljazeera.com/news/2023/2/15/possible-war-crime-as-russia-holds-thousands-of-children-study
78,Aljazeera,0.15243,0.45611,0.317,0.1189,0.2774,0.0,0.0198,https://www.aljazeera.com/news/2023/2/14/russia-prepares-air-fight-as-ukraine-ground-war-depletes-forces
79,Aljazeera,0.03243,0.36097,0.4781,0.1315,0.1076,0.0239,0.0956,https://www.aljazeera.com/news/2023/2/14/ukraine-confronts-two-enemies-russia-and-corruption
80,Aljazeera,0.0408,0.31882,0.0829,0.0207,0.1244,0.0,0.0,https://www.aljazeera.com/news/2023/2/14/chinas-xi-conveys-support-for-iran-during-raisis-visit
81,Aljazeera,0.0619,0.38303,0.0298,0.0298,0.0595,0.0,0.0,https://www.aljazeera.com/news/2023/2/14/nato-chief-hints-finland-sweden-could-join-alliance-separately
82,Aljazeera,0.11174,0.2718,0.0345,0.0345,0.3102,0.0,0.0,https://www.aljazeera.com/news/2023/2/14/russians-who-fled-war-win-case-to-end-stay-at-south-korea-airport
83,Aljazeera,0.08401,0.40085,0.3106,0.0621,0.3106,0.0932,0.0,https://www.aljazeera.com/news/2023/2/13/ukraine-nato-in-logistics-race-as-russian-offensive-begins
84,Aljazeera,-0.0118,0.33989,0.1785,0.0892,0.29,0.0,0.0223,https://www.aljazeera.com/news/2023/2/13/moldovan-president-warns-of-russian-interference
