,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
100,BBC,0.09018,0.37506,0.3723,0.273,0.0496,0.0,0.0,https://www.bbc.co.uk/news/uk-england-surrey-63248448
101,BBC,0.07702,0.36815,0.3177,0.164,0.164,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64422568
102,BBC,0.02127,0.31212,0.3203,0.2002,0.1401,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64457401
103,BBC,0.04922,0.40779,0.335,0.1365,0.1365,0.0,0.0248,https://www.bbc.co.uk/news/world-europe-64370165
104,BBC,0.0107,0.14177,0.3944,0.4996,0.2104,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61685220
105,BBC,0.09764,0.45218,0.2426,0.1306,0.28,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64429377
106,BBC,0.02316,0.2571,0.273,0.2958,0.0455,0.0,0.0,https://www.bbc.co.uk/news/uk-england-hampshire-64375504
107,BBC,-0.01481,0.21561,0.2956,0.2709,0.0985,0.0,0.0493,https://www.bbc.co.uk/news/world-europe-60739681
108,BBC,0.04267,0.36632,0.2558,0.175,0.1212,0.0,0.0943,https://www.bbc.co.uk/news/world-europe-64401190
109,BBC,-0.04771,0.20163,0.4539,0.3471,0.1869,0.0534,0.0,https://www.bbc.co.uk/news/world-europe-61315483
110,BBC,0.06595,0.40597,0.1284,0.1498,0.2568,0.0642,0.0,https://www.bbc.co.uk/news/world-europe-64346971
111,BBC,0.04663,0.34953,0.3232,0.1243,0.1616,0.0,0.0746,https://www.bbc.co.uk/news/world-europe-64355839
112,BBC,0.025,0.33475,0.289,0.1825,0.3498,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64296979
113,BBC,0.02223,0.41886,0.274,0.0834,0.1668,0.0238,0.0834,https://www.bbc.co.uk/news/world-64408504
114,BBC,0.02876,0.19281,0.3291,0.2992,0.0598,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63198973
115,BBC,0.0725,0.36108,0.2593,0.124,0.1353,0.0,0.0789,https://www.bbc.co.uk/news/world-europe-64341337
116,BBC,0.08207,0.42298,0.3333,0.2608,0.1594,0.0145,0.0,https://www.bbc.co.uk/news/newsbeat-64037867
117,BBC,-0.00563,0.40231,0.226,0.1861,0.3191,0.0266,0.0,https://www.bbc.co.uk/news/world-europe-64329371
118,BBC,0.0062,0.24094,0.5248,0.3422,0.0456,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60743036
119,BBC,0.08828,0.43624,0.2499,0.2352,0.4852,0.1764,0.0294,https://www.bbc.co.uk/news/world-europe-64138731
120,BBC,0.02778,0.18056,0.3292,0.3891,0.0599,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61263856
121,BBC,-0.00058,0.26988,0.3011,0.3011,0.0502,0.0502,0.0,https://www.bbc.co.uk/news/uk-politics-60692437
122,BBC,0.00899,0.25132,0.3927,0.3682,0.0736,0.0245,0.0,https://www.bbc.co.uk/news/uk-politics-60740014
123,BBC,-0.00288,0.13436,0.385,0.3593,0.077,0.0,0.0,https://www.bbc.co.uk/news/world-asia-china-61239833
124,BBC,-0.00505,0.15126,0.3255,0.4006,0.3005,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61638389
125,BBC,0.01624,0.42343,0.1671,0.1671,0.2367,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64330808
126,BBC,0.02319,0.25764,0.2917,0.2674,0.1215,0.1702,0.0,https://www.bbc.co.uk/news/uk-politics-60602984
127,BBC,0.05655,0.4674,0.1733,0.1386,0.1906,0.0347,0.0,https://www.bbc.co.uk/news/uk-england-humber-63948652
128,BBC,-0.00486,0.17153,0.3419,0.3134,0.0855,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60767594
129,BBC,0.07438,0.2108,0.2923,0.3189,0.0531,0.0,0.0,https://www.bbc.co.uk/news/uk-england-london-61223023
130,BBC,0.06852,0.44025,0.276,0.1656,0.1472,0.0,0.0736,https://www.bbc.co.uk/news/world-europe-64316081
131,BBC,0.07392,0.1938,0.4839,0.3145,0.1452,0.0,0.0,https://www.bbc.co.uk/news/uk-england-essex-61760449
132,BBC,-0.02989,0.37178,0.1552,0.0997,0.2217,0.0111,0.0,https://www.bbc.co.uk/news/world-europe-64367346
133,BBC,-0.04141,0.24672,0.4374,0.3859,0.0515,0.0,0.0,https://www.bbc.co.uk/news/world-61100181
134,BBC,0.01327,0.17377,0.3278,0.298,0.0894,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60807897
135,BBC,-0.07164,0.25936,0.3023,0.2791,0.0698,0.0233,0.0,https://www.bbc.co.uk/news/uk-politics-60692438
136,BBC,0.02749,0.16287,0.3844,0.3844,0.0887,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60674189
137,BBC,0.00721,0.40628,0.2581,0.129,0.2194,0.0129,0.0258,https://www.bbc.co.uk/news/world-europe-64358577
138,BBC,-0.0744,0.17729,0.3867,0.4125,0.1031,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60802801
139,BBC,-0.07593,0.26343,0.4206,0.3216,0.099,0.2227,0.0,https://www.bbc.co.uk/news/uk-politics-60769541
140,BBC,-0.04771,0.25458,0.3303,0.3003,0.0901,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64284987
141,BBC,-0.02056,0.20806,0.3271,0.3271,0.0755,0.0,0.0503,https://www.bbc.co.uk/news/world-62378684
142,BBC,-0.00544,0.36411,0.332,0.2656,0.0664,0.0,0.1328,https://www.bbc.co.uk/news/uk-politics-60663777
143,BBC,0.00593,0.27519,0.4527,0.3196,0.0533,0.0,0.0533,https://www.bbc.co.uk/news/world-asia-60689267
144,BBC,0.05738,0.40281,0.2754,0.116,0.1595,0.0,0.0725,https://www.bbc.co.uk/news/world-europe-64350877
145,BBC,0.05853,0.40185,0.2721,0.2401,0.3041,0.0,0.032,https://www.bbc.co.uk/news/world-europe-63995244
146,BBC,-0.04141,0.23308,0.4132,0.2755,0.0826,0.0,0.0,https://www.bbc.co.uk/news/uk-wales-61487595
147,BBC,0.03056,0.28299,0.3683,0.3399,0.0567,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60701351
148,BBC,0.04044,0.44417,0.2853,0.1902,0.1141,0.0,0.0,https://www.bbc.co.uk/news/uk-england-shropshire-63156335
149,BBC,-0.00432,0.28837,0.4522,0.2618,0.0476,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60756873
150,BBC,0.02673,0.34491,0.2329,0.183,0.2828,0.0,0.0166,https://www.bbc.co.uk/news/world-africa-63935260
151,BBC,0.01114,0.37797,0.303,0.1515,0.2861,0.1515,0.0673,https://www.bbc.co.uk/news/world-europe-63225781
152,BBC,0.01565,0.35534,0.3224,0.1896,0.3224,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64250202
153,BBC,0.01699,0.17222,0.3044,0.4427,0.1384,0.1384,0.0,https://www.bbc.co.uk/news/world-europe-61395929
154,BBC,0.21313,0.37513,0.2965,0.2965,0.0494,0.0,0.0988,https://www.bbc.co.uk/news/uk-politics-60676935
155,BBC,-0.00832,0.37512,0.2617,0.2617,0.0476,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60692433
156,BBC,0.01989,0.39278,0.3125,0.1172,0.3777,0.0391,0.026,https://www.bbc.co.uk/news/world-europe-64235713
157,BBC,0.02118,0.28819,0.3935,0.2886,0.1312,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60714529
158,BBC,0.08574,0.41427,0.2491,0.1712,0.3269,0.0311,0.0,https://www.bbc.co.uk/news/64240404
159,BBC,0.00423,0.28942,0.3904,0.3384,0.0781,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60867789
160,BBC,0.02259,0.20852,0.4403,0.3108,0.1554,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60810168
161,BBC,0.00556,0.25799,0.266,0.5319,0.2926,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60730777
162,BBC,0.00674,0.34875,0.2761,0.1472,0.2577,0.0,0.0552,https://www.bbc.co.uk/news/world-europe-64304310
163,BBC,0.00123,0.18025,0.3228,0.2732,0.2732,0.0,0.0,https://www.bbc.co.uk/news/world-europe-62044014
164,BBC,0.0644,0.36603,0.2942,0.2274,0.5082,0.1337,0.0,https://www.bbc.co.uk/news/world-europe-61252320
165,BBC,0.09243,0.38934,0.1772,0.2025,0.2404,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64294653
166,BBC,0.02944,0.19639,0.3788,0.2914,0.1748,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60922298
167,BBC,0.00092,0.35015,0.3058,0.1893,0.3058,0.0291,0.0291,https://www.bbc.co.uk/news/world-europe-64282044
168,BBC,0.02778,0.1877,0.2967,0.3264,0.0593,0.0,0.2077,https://www.bbc.co.uk/news/world-europe-60731909
169,BBC,0.01453,0.19444,0.4377,0.3502,0.0875,0.0,0.0,https://www.bbc.co.uk/news/uk-wales-60748889
170,BBC,0.02967,0.35379,0.1252,0.1126,0.0501,0.0,0.0,https://www.bbc.co.uk/news/business-62630787
171,BBC,0.02573,0.13304,0.294,0.294,0.2352,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60878705
172,BBC,0.03472,0.16632,0.4132,0.3542,0.0885,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60656614
173,BBC,0.01938,0.29468,0.2775,0.2775,0.0757,0.0,0.0,https://www.bbc.co.uk/news/world-europe-60752278
174,BBC,0.00897,0.17949,0.2918,0.2918,0.2918,0.0,0.0,https://www.bbc.co.uk/news/world-europe-62044015
175,BBC,0.02288,0.22306,0.2729,0.2977,0.1488,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60648944
176,BBC,0.07141,0.26977,0.3237,0.2739,0.0747,0.0,0.2241,https://www.bbc.co.uk/news/uk-politics-60666782
177,BBC,0.03486,0.38753,0.2676,0.2294,0.3441,0.0,0.0191,https://www.bbc.co.uk/news/world-africa-63627759
